"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2022-02-24 13:38:12,856000","","","CAN","32","STD: 0x00000320   04 00 00 01 00 00 00 80"
"2","2022-02-24 13:38:12,889000","","","CAN","32","STD: 0x00000320   04 00 00 01 00 01 00 80"
"3","2022-02-24 13:38:12,898000","","","CAN","32","STD: 0x000005d0   85 02 50 8f 00 59 40 00"
"4","2022-02-24 13:38:12,903000","","","CAN","32","STD: 0x00000320   04 00 00 01 00 02 00 80"
"5","2022-02-24 13:38:12,907000","","","CAN","32","STD: 0x00000470   40 01 00 00 00 00 00 1f"
"6","2022-02-24 13:38:12,934000","","","CAN","32","STD: 0x00000320   04 00 00 01 00 03 00 80"
"7","2022-02-24 13:38:12,938000","","","CAN","32","STD: 0x00000320   04 00 00 01 00 04 00 80"
"8","2022-02-24 13:38:12,938000","","","CAN","32","STD: 0x00000520   55 c0 00 5a 00 7d 95 00"
"9","2022-02-24 13:38:12,938000","","","CAN","32","STD: 0x00000621   00 5a 00 00 80 00 fd 00"
"10","2022-02-24 13:38:12,938000","","","CAN","32","STD: 0x00000570   00 20 98 00 00"
"11","2022-02-24 13:38:12,938000","","","CAN","32","STD: 0x0000035f   00 00 00 00 00 00 00 00"
"12","2022-02-24 13:38:12,938000","","","CAN","32","STD: 0x00000390   80 00 41 00 00 00 00 00"
"13","2022-02-24 13:38:12,938000","","","CAN","32","STD: 0x00000392   00 00 00 80 00 00 00 00"
"14","2022-02-24 13:38:12,938000","","","CAN","32","STD: 0x000005dc   2d 00 a0 01 08 00 00 00"
"15","2022-02-24 13:38:12,954000","","","CAN","32","STD: 0x00000470   40 01 00 00 00 00 00 1f"
"16","2022-02-24 13:38:12,954000","","","CAN","32","STD: 0x00000320   04 00 00 01 00 05 00 80"
"17","2022-02-24 13:38:12,985000","","","CAN","32","STD: 0x00000320   04 00 00 01 00 06 00 80"
"18","2022-02-24 13:38:12,985000","","","CAN","32","STD: 0x000005d0   85 02 50 8f 00 59 40 00"
