"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2022-02-24 13:39:26,299000","","","CAN","32","STD: 0x00000728   01 09 04 00 04 00 00"
"2","2022-02-24 13:39:26,315000","","","CAN","32","STD: 0x00000470   40 00 00 00 00 00 00 1f"
"3","2022-02-24 13:39:26,315000","","","CAN","32","STD: 0x0000035f   00 00 00 00 00 00 00 00"
"4","2022-02-24 13:39:26,315000","","","CAN","32","STD: 0x00000390   80 00 40 00 00 00 00 00"
"5","2022-02-24 13:39:26,315000","","","CAN","32","STD: 0x00000392   00 00 00 80 00 00 00 00"
"6","2022-02-24 13:39:26,315000","","","CAN","32","STD: 0x00000570   01 20 99 00 00"
"7","2022-02-24 13:39:26,315000","","","CAN","32","STD: 0x000005dc   2d 00 a0 01 08 00 00 00"
"8","2022-02-24 13:39:26,315000","","","CAN","32","STD: 0x0000064f   30 00 00 c8 c8 00 00 00"
"9","2022-02-24 13:39:26,315000","","","CAN","32","STD: 0x000007d0   de 7d 95 00 00 f0 ff df"
"10","2022-02-24 13:39:26,315000","","","CAN","32","STD: 0x00000727   01 01 04 00 04 00 00"
"11","2022-02-24 13:39:26,331000","","","CAN","32","STD: 0x00000320   00 00 00 00 00 01 00 80"
"12","2022-02-24 13:39:26,331000","","","CAN","32","STD: 0x00000420   03 00 00 00 00 00 ff 00"
"13","2022-02-24 13:39:26,331000","","","CAN","32","STD: 0x0000052a   00 00 00 00 00 00 00 00"
"14","2022-02-24 13:39:26,331000","","","CAN","32","STD: 0x000005d2   00 00 00 00 00 39 42 57"
"15","2022-02-24 13:39:26,331000","","","CAN","32","STD: 0x000005f3   00 00 00 00 00 00 00 00"
"16","2022-02-24 13:39:26,331000","","","CAN","32","STD: 0x0000060e   00 00"
"17","2022-02-24 13:39:26,331000","","","CAN","32","STD: 0x00000621   00 5a 00 00 80 00 fd 00"
"18","2022-02-24 13:39:26,331000","","","CAN","32","STD: 0x0000062e   7d 95 b0 71 08 28 19"
"19","2022-02-24 13:39:26,346000","","","CAN","32","STD: 0x00000320   00 00 00 01 00 02 00 80"
"20","2022-02-24 13:39:26,346000","","","CAN","32","STD: 0x00000629   ff 0f 86 41 00 00 00 ff"
"21","2022-02-24 13:39:26,362000","","","CAN","32","STD: 0x00000470   40 00 00 00 00 00 00 1f"
"22","2022-02-24 13:39:26,362000","","","CAN","32","STD: 0x000005d0   85 02 50 8f 00 59 40 00"
"23","2022-02-24 13:39:26,378000","","","CAN","32","STD: 0x00000320   04 00 00 01 00 03 00 80"
"24","2022-02-24 13:39:26,378000","","","CAN","32","STD: 0x0000062b   fe 2f 00 40 0d 00 fe 7f"
"25","2022-02-24 13:39:26,393000","","","CAN","32","STD: 0x00000320   04 00 00 01 00 04 00 80"
"26","2022-02-24 13:39:26,393000","","","CAN","32","STD: 0x0000062d   fe 2f 00 40 0d 00 fe 7f"
"27","2022-02-24 13:39:26,409000","","","CAN","32","STD: 0x00000320   04 00 00 01 00 05 00 80"
"28","2022-02-24 13:39:26,424000","","","CAN","32","STD: 0x00000470   40 00 00 00 00 00 00 1f"
"29","2022-02-24 13:39:26,424000","","","CAN","32","STD: 0x0000035f   00 00 00 00 00 00 00 00"
"30","2022-02-24 13:39:26,424000","","","CAN","32","STD: 0x00000390   80 00 40 00 00 00 00 00"
"31","2022-02-24 13:39:26,424000","","","CAN","32","STD: 0x00000392   00 00 00 80 00 00 00 00"
"32","2022-02-24 13:39:26,424000","","","CAN","32","STD: 0x00000570   01 20 99 00 00"
"33","2022-02-24 13:39:26,424000","","","CAN","32","STD: 0x000005dc   2d 00 a0 01 08 00 00 00"
"34","2022-02-24 13:39:26,424000","","","CAN","32","STD: 0x00000320   04 00 00 01 00 06 00 80"
"35","2022-02-24 13:39:26,424000","","","CAN","32","STD: 0x00000520   06 08 00 5a 00 7d 95 00"
"36","2022-02-24 13:39:26,424000","","","CAN","32","STD: 0x00000621   00 5a 00 00 80 00 fd 00"
"37","2022-02-24 13:39:26,456000","","","CAN","32","STD: 0x00000320   04 00 00 01 00 07 00 80"
"38","2022-02-24 13:39:26,471000","","","CAN","32","STD: 0x00000470   40 00 00 00 00 00 00 1f"
"39","2022-02-24 13:39:26,471000","","","CAN","32","STD: 0x000005d0   85 02 50 8f 00 59 40 00"
"40","2022-02-24 13:39:26,471000","","","CAN","32","STD: 0x00000320   04 00 00 01 00 08 00 80"
"41","2022-02-24 13:39:26,487000","","","CAN","32","STD: 0x00000320   04 00 00 01 00 09 00 80"
"42","2022-02-24 13:39:26,502000","","","CAN","32","STD: 0x00000728   01 09 05 00 04 00 00"
"43","2022-02-24 13:39:26,502000","","","CAN","32","STD: 0x00000470   c0 00 00 00 00 00 00 1f"
"44","2022-02-24 13:39:26,502000","","","CAN","32","STD: 0x00000050   00 01 00 01"
"45","2022-02-24 13:39:26,502000","","","CAN","32","STD: 0x00000550   00 00 00 00 00 00 00 00"
"46","2022-02-24 13:39:26,502000","","","CAN","32","STD: 0x00000320   06 02 00 01 00 0a 00 80"
"47","2022-02-24 13:39:26,518000","","","CAN","32","STD: 0x00000570   07 20 98 00 00"
"48","2022-02-24 13:39:26,518000","","","CAN","32","STD: 0x0000035f   00 00 00 00 00 00 00 00"
"49","2022-02-24 13:39:26,518000","","","CAN","32","STD: 0x00000390   00 00 40 00 00 00 00 00"
"50","2022-02-24 13:39:26,518000","","","CAN","32","STD: 0x00000392   00 00 00 80 00 00 00 00"
"51","2022-02-24 13:39:26,518000","","","CAN","32","STD: 0x000005dc   2d 00 a0 01 08 00 00 00"
"52","2022-02-24 13:39:26,518000","","","CAN","32","STD: 0x00000727   01 01 05 00 04 00 00"
"53","2022-02-24 13:39:26,534000","","","CAN","32","STD: 0x00000050   00 01 10 11"
"54","2022-02-24 13:39:26,534000","","","CAN","32","STD: 0x00000320   06 02 00 01 00 0b 00 98"
"55","2022-02-24 13:39:26,534000","","","CAN","32","STD: 0x00000420   03 00 00 00 00 64 ff 00"
"56","2022-02-24 13:39:26,534000","","","CAN","32","STD: 0x000005d2   01 41 42 34 35 55 38 4c"
"57","2022-02-24 13:39:26,534000","","","CAN","32","STD: 0x00000621   20 73 00 00 82 64 fd 00"
"58","2022-02-24 13:39:26,549000","","","CAN","32","STD: 0x00000470   c0 00 00 00 00 00 00 1f"
"59","2022-02-24 13:39:26,549000","","","CAN","32","STD: 0x00000050   00 01 20 21"
"60","2022-02-24 13:39:26,549000","","","CAN","32","STD: 0x00000320   06 02 00 01 00 0c 00 98"
"61","2022-02-24 13:39:26,565000","","","CAN","32","STD: 0x00000050   00 01 30 31"
"62","2022-02-24 13:39:26,565000","","","CAN","32","STD: 0x000005d0   85 02 50 8f 00 59 c0 00"
"63","2022-02-24 13:39:26,565000","","","CAN","32","STD: 0x00000320   02 02 00 01 00 0d 00 98"
"64","2022-02-24 13:39:26,581000","","","CAN","32","STD: 0x00000723   01 03 01 00 04 00 00"
"65","2022-02-24 13:39:26,581000","","","CAN","32","STD: 0x00000050   00 01 40 41"
"66","2022-02-24 13:39:26,596000","","","CAN","32","STD: 0x00000320   02 02 00 01 00 0e 00 98"
"67","2022-02-24 13:39:26,596000","","","CAN","32","STD: 0x00000470   c0 00 00 00 00 00 00 1f"
"68","2022-02-24 13:39:26,612000","","","CAN","32","STD: 0x00000050   00 01 50 51"
"69","2022-02-24 13:39:26,612000","","","CAN","32","STD: 0x00000320   02 02 00 01 00 0f 00 98"
"70","2022-02-24 13:39:26,612000","","","CAN","32","STD: 0x000005a0   2b 01 00 05 00 00 00 2b"
"71","2022-02-24 13:39:26,612000","","","CAN","32","STD: 0x000003a0   5f 00 00 00 10 40 00 0f"
"72","2022-02-24 13:39:26,612000","","","CAN","32","STD: 0x000004a0   00 00 00 00 00 00 00 00"
"73","2022-02-24 13:39:26,612000","","","CAN","32","STD: 0x00000570   07 20 98 05 00"
"74","2022-02-24 13:39:26,612000","","","CAN","32","STD: 0x0000035f   00 00 00 00 00 00 00 00"
"75","2022-02-24 13:39:26,612000","","","CAN","32","STD: 0x00000390   00 00 40 00 00 00 00 00"
"76","2022-02-24 13:39:26,612000","","","CAN","32","STD: 0x00000392   00 00 00 80 00 00 00 00"
"77","2022-02-24 13:39:26,612000","","","CAN","32","STD: 0x000005dc   2d 00 a0 01 08 00 00 00"
"78","2022-02-24 13:39:26,627000","","","CAN","32","STD: 0x000002a0   00 00 00 00 00 00 00 00"
"79","2022-02-24 13:39:26,627000","","","CAN","32","STD: 0x000001a0   00 05 00 00 00 fe 00 00"
"80","2022-02-24 13:39:26,627000","","","CAN","32","STD: 0x000004a8   fe 7f 00 20 00 00 00 a1"
"81","2022-02-24 13:39:26,627000","","","CAN","32","STD: 0x000004a0   00 00 00 00 00 00 00 00"
"82","2022-02-24 13:39:26,627000","","","CAN","32","STD: 0x00000050   00 01 60 61"
"83","2022-02-24 13:39:26,627000","","","CAN","32","STD: 0x000002a0   00 00 00 00 00 00 10 10"
"84","2022-02-24 13:39:26,627000","","","CAN","32","STD: 0x000001a0   00 05 00 00 00 fe 00 01"
"85","2022-02-24 13:39:26,627000","","","CAN","32","STD: 0x00000320   02 02 00 01 00 00 00 9a"
"86","2022-02-24 13:39:26,627000","","","CAN","32","STD: 0x00000520   47 42 02 73 00 7d 95 00"
"87","2022-02-24 13:39:26,627000","","","CAN","32","STD: 0x00000621   20 73 00 00 82 64 fd 00"
"88","2022-02-24 13:39:26,627000","","","CAN","32","STD: 0x000005a0   2b 01 00 15 00 00 00 2b"
"89","2022-02-24 13:39:26,627000","","","CAN","32","STD: 0x000003a0   5e 01 00 00 10 40 00 0f"
"90","2022-02-24 13:39:26,643000","","","CAN","32","STD: 0x000004a0   00 00 00 00 00 00 00 00"
"91","2022-02-24 13:39:26,643000","","","CAN","32","STD: 0x000002a0   00 00 00 00 00 00 20 20"
"92","2022-02-24 13:39:26,643000","","","CAN","32","STD: 0x000001a0   00 05 00 00 00 fe 00 02"
"93","2022-02-24 13:39:26,643000","","","CAN","32","STD: 0x000004a8   fe 7f 00 20 00 00 10 b1"
"94","2022-02-24 13:39:26,643000","","","CAN","32","STD: 0x000004a0   00 00 00 00 00 00 00 00"
"95","2022-02-24 13:39:26,643000","","","CAN","32","STD: 0x00000050   00 01 70 71"
"96","2022-02-24 13:39:26,643000","","","CAN","32","STD: 0x00000470   c0 00 00 00 00 00 00 1f"
"97","2022-02-24 13:39:26,643000","","","CAN","32","STD: 0x000002a0   00 00 00 00 00 00 30 30"
"98","2022-02-24 13:39:26,643000","","","CAN","32","STD: 0x000001a0   00 05 00 00 00 fe 00 03"
"99","2022-02-24 13:39:26,643000","","","CAN","32","STD: 0x00000320   02 02 00 01 00 01 00 9a"
"100","2022-02-24 13:39:26,659000","","","CAN","32","STD: 0x000005a0   2b 01 00 25 00 00 00 2b"
"101","2022-02-24 13:39:26,659000","","","CAN","32","STD: 0x000003a0   5d 02 00 00 10 40 00 0f"
"102","2022-02-24 13:39:26,659000","","","CAN","32","STD: 0x000004a0   00 00 00 00 00 00 00 00"
"103","2022-02-24 13:39:26,659000","","","CAN","32","STD: 0x000002a0   00 00 00 00 00 00 40 40"
"104","2022-02-24 13:39:26,659000","","","CAN","32","STD: 0x000001a0   00 05 00 00 00 fe 00 04"
"105","2022-02-24 13:39:26,690000","","","CAN","32","STD: 0x000004a8   fe 7f 00 20 00 00 20 81"
"106","2022-02-24 13:39:26,690000","","","CAN","32","STD: 0x000004a0   00 00 00 00 00 00 00 00"
"107","2022-02-24 13:39:26,690000","","","CAN","32","STD: 0x00000050   00 21 80 a1"
"108","2022-02-24 13:39:26,690000","","","CAN","32","STD: 0x000005d0   85 02 50 8f 00 59 c0 00"
"109","2022-02-24 13:39:26,690000","","","CAN","32","STD: 0x000002a0   00 00 00 00 00 00 50 50"
"110","2022-02-24 13:39:26,690000","","","CAN","32","STD: 0x000001a0   00 05 00 00 00 fe 00 05"
"111","2022-02-24 13:39:26,690000","","","CAN","32","STD: 0x00000320   02 02 00 01 00 02 00 9a"
"112","2022-02-24 13:39:26,690000","","","CAN","32","STD: 0x000005a0   2b 01 00 35 00 00 00 2b"
"113","2022-02-24 13:39:26,690000","","","CAN","32","STD: 0x000003a0   5c 03 00 00 10 40 00 0f"
"114","2022-02-24 13:39:26,690000","","","CAN","32","STD: 0x000004a0   00 00 00 00 00 00 00 00"
"115","2022-02-24 13:39:26,690000","","","CAN","32","STD: 0x000002a0   00 00 00 00 00 00 60 60"
"116","2022-02-24 13:39:26,690000","","","CAN","32","STD: 0x000001a0   00 05 00 00 00 fe 00 06"
"117","2022-02-24 13:39:26,690000","","","CAN","32","STD: 0x000004a8   fe 7f 00 20 00 00 30 91"
"118","2022-02-24 13:39:26,690000","","","CAN","32","STD: 0x000004a0   00 00 00 00 00 00 00 00"
