"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2022-02-24 13:40:34,004000","","","CAN","32","STD: 0x00000288   11 a1 00 00 00 00 53 19"
"2","2022-02-24 13:40:34,004000","","","CAN","32","STD: 0x00000480   0f 2c 00 00 00 00 02 21"
"3","2022-02-24 13:40:34,004000","","","CAN","32","STD: 0x0000048a   42 00 00 00 00 02 00 40"
"4","2022-02-24 13:40:34,004000","","","CAN","32","STD: 0x000004a8   fe 7f 00 20 00 00 00 a1"
"5","2022-02-24 13:40:34,004000","","","CAN","32","STD: 0x000004a0   00 00 00 00 00 00 00 00"
"6","2022-02-24 13:40:34,004000","","","CAN","32","STD: 0x00000380   00 7e 00 00 00 00 00 05"
"7","2022-02-24 13:40:34,004000","","","CAN","32","STD: 0x00000488   50 00 00 75 a5 ff ff 80"
"8","2022-02-24 13:40:34,004000","","","CAN","32","STD: 0x00000540   80 00 00 00 00 00 20 00"
"9","2022-02-24 13:40:34,004000","","","CAN","32","STD: 0x00000588   e8 00 75 80 00 00 00 71"
"10","2022-02-24 13:40:34,004000","","","CAN","32","STD: 0x00000050   00 20 60 40"
"11","2022-02-24 13:40:34,004000","","","CAN","32","STD: 0x00000550   00 00 00 00 00 00 00 00"
"12","2022-02-24 13:40:34,004000","","","CAN","32","STD: 0x000002a0   00 00 00 00 00 00 10 10"
"13","2022-02-24 13:40:34,004000","","","CAN","32","STD: 0x000001a0   00 00 00 00 00 fe 00 01"
"14","2022-02-24 13:40:34,004000","","","CAN","32","STD: 0x00000320   00 02 2b 01 00 0d 00 88"
"15","2022-02-24 13:40:34,004000","","","CAN","32","STD: 0x00000280   09 26 00 00 00 00 00 19"
"16","2022-02-24 13:40:34,020000","","","CAN","32","STD: 0x000005a0   7f 00 00 10 00 00 00 2b"
"17","2022-02-24 13:40:34,020000","","","CAN","32","STD: 0x000003a0   5e 01 00 00 10 40 00 0f"
"18","2022-02-24 13:40:34,020000","","","CAN","32","STD: 0x000004a0   00 00 00 00 00 00 00 00"
"19","2022-02-24 13:40:34,020000","","","CAN","32","STD: 0x00000380   00 7e 00 00 00 00 00 05"
"20","2022-02-24 13:40:34,020000","","","CAN","32","STD: 0x00000488   40 00 00 75 a5 ff ff 90"
"21","2022-02-24 13:40:34,020000","","","CAN","32","STD: 0x00000540   90 00 00 00 00 00 20 00"
"22","2022-02-24 13:40:34,020000","","","CAN","32","STD: 0x000002a0   00 00 00 00 00 00 20 20"
